dong,ho,type,dong,ho,type
102,511,23B1,102,611,23B1
102,512,23B1,102,612,23B1
102,513,23B1,102,613,23B1
102,514,23B1,102,614,23B1
102,515,23B1,102,615,23B1
102,516,23B1,102,616,23B1
102,517,27B1,102,617,27B1
102,518,23B3,102,618,23B3
102,519,23B3,102,619,23B3
102,520,23B3,102,620,23B3
102,521,23B3,102,621,23B3
102,522,23B3,102,622,23B3
102,523,23B3,102,623,23B3
102,524,23B3,102,624,23B3
102,701,28A1,102,801,28A1
102,702,23A3,102,802,23A3
102,703,23A1,102,803,23A1
102,704,23A1,102,804,23A1
102,705,23A1,102,805,23A1
102,706,23A1,102,806,23A1
102,707,23A3,102,807,23A3
102,708,26A1,102,808,26A1
102,709,23B2,102,809,23B2
102,710,23B1,102,810,23B1
102,711,23B1,102,811,23B1
102,712,23B1,102,812,23B1
102,713,23B1,102,813,23B1
102,714,23B1,102,814,23B1
102,715,23B1,102,815,23B1
102,716,23B1,102,816,23B1
102,717,27B1,102,817,27B1
102,718,23B3,102,818,23B3
102,719,23B3,102,819,23B3
102,720,23B3,102,820,23B3
102,721,23B3,102,821,23B3
102,722,23B3,102,822,23B3
102,723,23B3,102,823,23B3
102,724,23B3,102,824,23B3
102,901,28A1,102,1001,28A1
102,902,23A3,102,1002,23A3
102,903,23A1,102,1003,23A1
102,904,23A1,102,1004,23A1
102,905,23A1,102,1005,23A1
102,906,23A1,102,1006,23A1
102,907,23A3,102,1007,23A3
102,908,26A1,102,1008,26A1
102,909,23B2,102,1009,23B2
102,910,23B1,102,1010,23B1
102,911,23B1,102,1011,23B1
102,912,23B1,102,1012,23B1
102,913,23B1,102,1013,23B1
102,914,23B1,102,1014,23B1
102,915,23B1,102,1015,23B1
102,916,23B1,102,1016,23B1
102,917,27B1,102,1017,27B1
102,918,23B3,102,1018,23B3
102,919,23B3,102,1019,23B3
102,920,23B3,102,1020,23B3
102,921,23B3,102,1021,23B3
102,922,23B3,102,1022,23B3
102,923,23B3,102,1023,23B3
102,924,23B3,102,1024,23B3
102,1101,28A1,102,1201,28A1
102,1102,23A3,102,1202,23A3
102,1103,23A1,102,1203,23A1
102,1104,23A1,102,1204,23A1
102,1105,23A1,102,1205,23A1
102,1106,23A1,102,1206,23A1
102,1107,23A3,102,1207,23A3
102,1108,26A1,102,1208,26A1
102,1109,23B2,102,1209,23B2
102,1110,23B1,102,1210,23B1
102,1111,23B1,102,1211,23B1
102,1112,23B1,102,1212,23B1
102,1113,23B1,102,1213,23B1
102,1114,23B1,102,1214,23B1
102,1115,23B1,102,1215,23B1
102,1116,23B1,102,1216,23B1
102,1117,27B1,102,1217,27B1
102,1118,23B3,102,1218,23B3
102,1119,23B3,102,1219,23B3
102,1120,23B3,102,1220,23B3
102,1121,23B3,102,1221,23B3
102,1122,23B3,102,1222,23B3
102,1123,23B3,102,1223,23B3
102,1124,23B3,102,1224,23B3
102,1301,28A1,102,1401,28A1
102,1302,23A3,102,1402,23A3
102,1303,23A1,102,1403,23A1
102,1304,23A1,102,1404,23A1
102,1305,23A1,102,1405,23A1
102,1306,23A1,102,1406,23A1
102,1307,23A3,102,1407,23A3
102,1308,26A1,102,1408,26A1
102,1309,23B2,102,1409,23B2
102,1310,23B1,102,1410,23B1
102,1311,23B1,102,1411,23B1
102,1312,23B1,102,1412,23B1
102,1313,23B1,102,1413,23B1
102,1314,23B1,102,1414,23B1
102,1315,23B1,102,1415,23B1
102,1316,23B1,102,1416,23B1
102,1317,27B1,102,1417,27B1
102,1318,23B3,102,1418,23B3
102,1319,23B3,102,1419,23B3
102,1320,23B3,102,1420,23B3
102,1321,23B3,102,1421,23B3
102,1322,23B3,102,1422,23B3
102,1323,23B3,102,1423,23B3
102,1324,23B3,102,1424,23B3
102,1501,28A1,102,1601,28A1
102,1502,23A3,102,1602,23A3
102,1503,23A1,102,1603,23A1
102,1504,23A1,102,1604,23A1
102,1505,23A1,102,1605,23A1
102,1506,23A1,102,1606,23A1
102,1507,23A3,102,1607,23A3
102,1508,26A1,102,1608,26A1
102,1509,23B2,102,1609,23B2
102,1510,23B1,102,1610,23B1
102,1511,23B1,102,1611,23B1
102,1512,23B1,102,1612,23B1
102,1513,23B1,102,1613,23B1
102,1514,23B1,102,1614,23B1
102,1515,23B1,102,1615,23B1
102,1516,23B1,102,1616,23B1
102,1517,27B1,102,1617,27B1
102,1518,23B3,102,1618,23B3
102,1519,23B3,102,1619,23B3
102,1520,23B3,102,1620,23B3
102,1521,23B3,102,1621,23B3
102,1522,23B3,102,1622,23B3
102,1523,23B3,102,1623,23B3
102,1524,23B3,102,1624,23B3
102,1701,28A1,102,1801,28A1
102,1702,23A3,102,1802,23A3
102,1703,23A1,102,1803,23A1
102,1704,23A1,102,1804,23A1
102,1705,23A1,102,1805,23A1
102,1706,23A1,102,1806,23A1
102,1707,23A3,102,1807,23A3
102,1708,26A1,102,1808,26A1
102,1709,23B2,102,1809,23B2
102,1710,23B1,102,1810,23B1
102,1711,23B1,102,1811,23B1
102,1712,23B1,102,1812,23B1
102,1713,23B1,102,1813,23B1
102,1714,23B1,102,1814,23B1
102,1715,23B1,102,1815,23B1
102,1716,23B1,102,1816,23B1
102,1717,27B1,102,1817,27B1
102,1718,23B3,102,1818,23B3
102,1719,23B3,102,1819,23B3
102,1720,23B3,102,1820,23B3
102,1721,23B3,102,1821,23B3
102,1722,23B3,102,1822,23B3
102,1723,23B3,102,1823,23B3
102,1724,23B3,102,1824,23B3
102,1901,28A1,102,2001,28A1
102,1902,23A3,102,2002,23A3
102,1903,23A1,102,2003,23A1
102,1904,23A1,102,2004,23A1
102,1905,23A1,102,2005,23A1
102,1906,23A1,102,2006,23A1
102,1907,23A3,102,2007,23A3
102,1908,26A1,102,2008,26A1
102,1909,23B2,102,2009,23B2
102,1910,23B1,102,2010,23B1
102,1911,23B1,102,2011,23B1
102,1912,23B1,102,2012,23B1
102,1913,23B1,102,2013,23B1
102,1914,23B1,102,2014,23B1
102,1915,23B1,102,2015,23B1
102,1916,23B1,102,2016,23B1
102,1917,27B1,102,2017,27B1
102,1918,23B3,102,2018,23B3
102,1919,23B3,102,2019,23B3
102,1920,23B3,102,2020,23B3
102,1921,23B3,102,2021,23B3
102,1922,23B3,102,2022,23B3
102,1923,23B3,102,2023,23B3
102,1924,23B3,102,2024,23B3
